"Total","Facebook Campaign Name","Campaign Id","Campaign Owner","Date","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Revenue","Spent","Margin"
"Total","si2z1106g1_0607_SenInternet_FB_TL_CBO_AUBH","si2z1106g1","AnastasiaFB","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","si2z1106g1_0607_SenInternet_FB_TL_CBO_AUBH","si2z1106g1","AnastasiaFB","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","si2z1106g1_0607_SenInternet_FB_TL_CBO_AUBH","si2z1106g1","AnastasiaFB","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","si2z1106g1_0607_SenInternet_FB_TL_CBO_AUBH","si2z1106g1","AnastasiaFB","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","si311p506k0_PrimaryCareDoctors_Facebook_RSOC_Mike","si311p506k0","mike",,0,0,0,0,0,0,0,0,0,0,0
"Total","si311p506k0_PrimaryCareDoctors_Facebook_RSOC_Mike","si311p506k0","mike","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","si311p506k0_PrimaryCareDoctors_Facebook_RSOC_Mike","si311p506k0","mike","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","si311p506k0_PrimaryCareDoctors_Facebook_RSOC_Mike","si311p506k0","mike","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","si311p506k0_PrimaryCareDoctors_Facebook_RSOC_Mike","si311p506k0","mike","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","si311p506k0_PrimaryCareDoctors_Facebook_RSOC_Mike","si311p506k0","mike","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","si311p506k0_PrimaryCareDoctors_Facebook_RSOC_Mike","si311p506k0","mike","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ",,,,6779,839,787,648,267,364,0.433849821215733,1.1368438705349657,190.4115172177,171.62,18.791517217700004
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","si322d406uf","tj",,6779,839,779,648,267,364,0.433849821215733,1.1368438705349657,190.4115172177,171.62,18.791517217700004
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","si322d406uf","tj","2025-10-01",630,83,82,71,28,30,0.3614457831325301,1.0918544194107451,16.282905,15.22,1.0629049999999989
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","si322d406uf","tj","2025-10-02",500,62,57,47,22,23,0.3709677419354839,1.1086474501108647,11.255272595200003,12.16,-0.9047274047999974
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","si322d406uf","tj","2025-10-03",527,58,55,39,15,17,0.29310344827586204,1.1236673773987207,6.627548280000001,13.49,-6.862451719999999
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","si322d406uf","tj","2025-10-04",515,62,53,50,20,24,0.3870967741935484,1.1368653421633554,17.472383290699998,13.38,4.092383290699997
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","si322d406uf","tj","2025-10-05",679,81,73,65,27,32,0.3950617283950617,1.0969305331179322,14.7835692681,17.57,-2.7864307318999995
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","si322d406uf","tj","2025-10-06",749,106,96,87,34,57,0.5377358490566038,1.1612403100775195,30.293650303799996,17.42,12.873650303799995
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","si322d406uf","tj","2025-10-07",785,92,92,88,36,53,0.5760869565217391,1.134393063583815,22.944513835499997,18.52,4.424513835499997
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","si322d406uf","tj","2025-10-08",1235,150,148,109,43,57,0.38,1.1717267552182162,34.452604445700004,32.08,2.3726044457000057
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","si322d406uf","tj","2025-10-09",1159,145,123,92,42,71,0.4896551724137931,1.155533399800598,36.2990701987,31.78,4.5190701987
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","sixc3zz06m9","tj",,0,0,8,0,0,0,0,0,0,0,0
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","sixc3zz06m9","tj","2025-10-01",0,0,2,0,0,0,0,0,0,0,0
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","sixc3zz06m9","tj","2025-10-03",0,0,1,0,0,0,0,0,0,0,0
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","sixc3zz06m9","tj","2025-10-05",0,0,1,0,0,0,0,0,0,0,0
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","sixc3zz06m9","tj","2025-10-08",0,0,2,0,0,0,0,0,0,0,0
"Total","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","sixc3zz06m9","tj","2025-10-09",0,0,2,0,0,0,0,0,0,0,0
"Total","si37jj06cy_0828_NissanRogueSUVs_AdSets_SP_FB_RD_BH","si37jj06cy","ben",,40047,4033,140,2839,1240,1710,0.4240019836350112,1.116603931409452,1807.5290663603998,1581.92,225.60906636039977
"Total","si37jj06cy_0828_NissanRogueSUVs_AdSets_SP_FB_RD_BH","si37jj06cy","ben","2025-10-01",15145,1608,72,1109,433,617,0.38370646766169153,1.2001743402805294,638.3550964725999,647.5,-9.14490352740006
"Total","si37jj06cy_0828_NissanRogueSUVs_AdSets_SP_FB_RD_BH","si37jj06cy","ben","2025-10-02",2558,259,12,187,93,115,0.444015444015444,1.109761388286334,117.163472,109.24,7.923472000000004
"Total","si37jj06cy_0828_NissanRogueSUVs_AdSets_SP_FB_RD_BH","si37jj06cy","ben","2025-10-03",2992,260,6,189,84,120,0.46153846153846156,1.0876045074518357,138.57642758619994,109.92,28.65642758619994
"Total","si37jj06cy_0828_NissanRogueSUVs_AdSets_SP_FB_RD_BH","si37jj06cy","ben","2025-10-04",3069,298,1,204,105,128,0.42953020134228187,1.021297836938436,144.42299393919996,109.2,35.22299393919995
"Total","si37jj06cy_0828_NissanRogueSUVs_AdSets_SP_FB_RD_BH","si37jj06cy","ben","2025-10-05",3315,311,3,198,91,127,0.40836012861736337,1.086173001310616,136.13700000000006,118.29,17.84700000000005
"Total","si37jj06cy_0828_NissanRogueSUVs_AdSets_SP_FB_RD_BH","si37jj06cy","ben","2025-10-06",3316,339,12,208,92,139,0.41002949852507375,1.0523643287845128,150.27592452839997,114.21,36.065924528399975
"Total","si37jj06cy_0828_NissanRogueSUVs_AdSets_SP_FB_RD_BH","si37jj06cy","ben","2025-10-07",2920,301,12,233,112,161,0.5348837209302325,1.1043872919818456,176.08756338999996,109.33,66.75756338999996
