"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total","ben","siib1il065m","Automotive","siib1il065m_0827__FordvDodge_Content2_FB_TL_RD_BH",1344,96,4,79,33,42,0.4375,1.20863309352518,25.88,36.354363557,10.474363557
"Total","ben","si103j906p6","MississippiRiverCruise","si103j906p6_1002_MississippiRiverCruise - KeywordTest - FB - KW - BH",993,89,79,59,37,43,0.48314606741573035,1.1157303370786518,19.83,36.06131427850001,16.231314278500008
"Total","ben","si37jj06cy","Automotive","si37jj06cy_0828_NissanRogueSUVs_AdSets_SP_FB_RD_BH",2919,301,12,233,112,161,0.5348837209302325,1.1040090771558244,109.29,176.08756339000004,66.79756339000004
"Total","Dan",,,,31682,2544,2011,1554,483,630,0.24764150943396226,1.0975542160327028,435.33000000000004,653.9231357785002,218.59313577850014
"Total","Dan","sixoy1061x","TeacherCertificationOnline","sixoy1061x_1003_TeacherCertifications_TL_DM",2467,179,233,47,27,31,0.17318435754189945,1.282891315652626,73.62,68.8255862785,-4.794413721500007
"Total","Dan","si0519o06p5","DentalImplantClinicalTrials","si0519o06p5_1003_DentalImplantTrialsCA_TL_DM",26656,2252,1685,1433,429,564,0.25044404973357015,1.0831809500589216,331.11,569.3914472400002,238.28144724000015
"Total","Dan","siy320o06pm","SleepApneaClinicalTrials","siy320o06pm_1002_SleepApneaTrialsCA_TL_FB_KW_DM",2559,113,93,74,27,35,0.30973451327433627,1.0964010282776349,30.6,15.706102260000002,-14.89389774
"Total","tj",,,,136036,11727,3152,7785,3277,4098,0.3494499872090049,1.1332272602317504,3196.2999999999997,3628.5629789704,432.2629789704001
"Total","tj","si9o1pb0623","SmokingClinicalTrials","si9o1pb0623_SmokingClinicalTrials_Facebook_RSOC_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siiu7c506ok","SeniorApartments","siiu7c506ok_0807_SeniorApartments_FB_TL_TJ",0,0,0,0,0,0,0,0,0,0,0
