"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Date","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total","tj","si3a34c06of","DentalImplants","si3a34c06of_0827_DentalImplants_KnowledgeWarehouse_TJ","2025-10-06",3909,258,4,168,69,90,0.3488372093023256,1.2528846153846154,72.47,93.70646649860004,21.236466498600038
"Total","tj","si3a34c06of","DentalImplants","si3a34c06of_0827_DentalImplants_KnowledgeWarehouse_TJ","2025-10-07",3185,213,4,131,58,77,0.3615023474178404,1.283239323126511,67.04,91.62085394950002,24.58085394950001
"Total","tj","si3nag06x9","SeniorLiving","si3nag06x9_SeniorLiving_0826_Facebook_KnowledgeWarehouse_TJ",,2135,176,9,146,64,79,0.44886363636363635,1.2326789838337182,66.22,51.24772968869999,-14.972270311300008
"Total","tj","si3nag06x9","SeniorLiving","si3nag06x9_SeniorLiving_0826_Facebook_KnowledgeWarehouse_TJ","2025-10-01",384,16,1,14,5,9,0.5625,1.177914110429448,8.08,5.583999,-2.4960009999999997
"Total","tj","si3nag06x9","SeniorLiving","si3nag06x9_SeniorLiving_0826_Facebook_KnowledgeWarehouse_TJ","2025-10-02",419,31,1,20,14,19,0.6129032258064516,1.2215743440233235,11.16,9.796806,-1.363194
"Total","tj","si3nag06x9","SeniorLiving","si3nag06x9_SeniorLiving_0826_Facebook_KnowledgeWarehouse_TJ","2025-10-03",311,28,4,26,11,12,0.42857142857142855,1.329059829059829,8.76,9.634428,0.874428
"Total","tj","si3nag06x9","SeniorLiving","si3nag06x9_SeniorLiving_0826_Facebook_KnowledgeWarehouse_TJ","2025-10-04",312,32,0,42,15,19,0.59375,1.3109243697478992,8.46,15.414301581399998,6.9543015813999975
"Total","tj","si3nag06x9","SeniorLiving","si3nag06x9_SeniorLiving_0826_Facebook_KnowledgeWarehouse_TJ","2025-10-05",376,35,3,20,9,9,0.2571428571428571,1.2012779552715656,12.51,7.1560434227,-5.3539565773
"Total","tj","si3nag06x9","SeniorLiving","si3nag06x9_SeniorLiving_0826_Facebook_KnowledgeWarehouse_TJ","2025-10-06",211,26,0,21,9,10,0.38461538461538464,1.2196531791907514,8.79,3.4997736845999996,-5.2902263154
"Total","tj","si3nag06x9","SeniorLiving","si3nag06x9_SeniorLiving_0826_Facebook_KnowledgeWarehouse_TJ","2025-10-07",122,8,0,3,1,1,0.125,1.161904761904762,8.46,0.162378,-8.297622
"Total","tj","si4d3064g","DisabilityPay","si4d3064g_0916_DisabilityPay_KnowledgeWarehouse_TJ",,52794,7542,105,5352,1989,2448,0.324582338902148,1.1048699328212963,787.6300000000001,886.9773329476101,99.34733294760997
"Total","tj","si4d3064g","DisabilityPay","si4d3064g_0916_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-01",9450,1338,37,849,364,445,0.3325859491778774,1.0889605899976953,144.48,124.12095607280003,-20.359043927199963
"Total","tj","si4d3064g","DisabilityPay","si4d3064g_0916_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-02",7400,1158,18,862,376,456,0.39378238341968913,1.0818713450292399,112.97,137.2585698938001,24.288569893800087
"Total","tj","si4d3064g","DisabilityPay","si4d3064g_0916_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-03",7236,1025,16,793,322,395,0.3853658536585366,1.089430894308943,105.04,129.37007609599985,24.330076095999843
"Total","tj","si4d3064g","DisabilityPay","si4d3064g_0916_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-04",7375,1096,10,785,249,310,0.28284671532846717,1.1386444341516133,102.06,124.86932302740001,22.809323027400012
"Total","tj","si4d3064g","DisabilityPay","si4d3064g_0916_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-05",8079,1165,12,799,251,315,0.2703862660944206,1.0736212624584718,116.02,152.96128500901008,36.94128500901009
"Total","tj","si4d3064g","DisabilityPay","si4d3064g_0916_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-06",6417,851,4,563,186,221,0.2596944770857814,1.095425059747354,100.06,85.33693512160004,-14.723064878399967
"Total","tj","si4d3064g","DisabilityPay","si4d3064g_0916_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-07",6837,909,8,701,241,306,0.33663366336633666,1.1863612701717856,107,133.060187727,26.060187727
"Total","tj","si4w2a06c6","HyundaiPalisade","si4w2a06c6_0911_HyundaiPalisade_TJ",,5851,580,125,404,189,247,0.42586206896551726,1.145009784735812,216.95,179.4241312187,-37.52586878129998
"Total","tj","si4w2a06c6","HyundaiPalisade","si4w2a06c6_0911_HyundaiPalisade_TJ","2025-10-01",1178,120,48,89,41,58,0.48333333333333334,1.1448007774538387,45.66,39.472889,-6.1871109999999945
"Total","tj","si4w2a06c6","HyundaiPalisade","si4w2a06c6_0911_HyundaiPalisade_TJ","2025-10-02",972,104,24,73,29,37,0.3557692307692308,1.1263035921205098,35.91,29.164893000000003,-6.745106999999994
"Total","tj","si4w2a06c6","HyundaiPalisade","si4w2a06c6_0911_HyundaiPalisade_TJ","2025-10-03",837,79,16,47,22,28,0.35443037974683544,1.173913043478261,30.4,19.10359128,-11.296408719999999
"Total","tj","si4w2a06c6","HyundaiPalisade","si4w2a06c6_0911_HyundaiPalisade_TJ","2025-10-04",717,70,16,50,25,29,0.4142857142857143,1.1220657276995305,26.65,22.740647290999995,-3.9093527090000038
"Total","tj","si4w2a06c6","HyundaiPalisade","si4w2a06c6_0911_HyundaiPalisade_TJ","2025-10-05",988,86,10,62,31,40,0.46511627906976744,1.1569086651053864,34.08,35.37134100000001,1.2913410000000098
"Total","tj","si4w2a06c6","HyundaiPalisade","si4w2a06c6_0911_HyundaiPalisade_TJ","2025-10-06",630,65,9,42,19,29,0.4461538461538462,1.160220994475138,23.67,19.8274093692,-3.8425906308
"Total","tj","si4w2a06c6","HyundaiPalisade","si4w2a06c6_0911_HyundaiPalisade_TJ","2025-10-07",529,56,2,41,22,26,0.4642857142857143,1.1279317697228144,20.58,13.7433602785,-6.836639721499997
"Total","tj","si4wk306md","OnlineHighSchool","si4wk306md_OnlineHighSchool_TriviaLibrary_Facebook_0416_TJ",,0,0,2,0,0,0,0,0,0,0,0
"Total","tj","si4wk306md","OnlineHighSchool","si4wk306md_OnlineHighSchool_TriviaLibrary_Facebook_0416_TJ","2025-10-02",0,0,1,0,0,0,0,0,0,0,0
"Total","tj","si4wk306md","OnlineHighSchool","si4wk306md_OnlineHighSchool_TriviaLibrary_Facebook_0416_TJ","2025-10-06",0,0,1,0,0,0,0,0,0,0,0
"Total","tj","si538x06gc","HomeValue-DE","si538x06gc_HomeValue-DE_1105_Facebook_TJ","2025-10-06",0,0,1,0,0,0,0,0,0,0,0
"Total","tj","si551wg06ge","PilotTraining","si551wg06ge_PilotTraining_1001_Facebook_KnowledgeWarehouse_TJ",,15446,619,654,218,100,115,0.18578352180936994,1.148914013686403,219.59,206.06274090530005,-13.527259094699957
"Total","tj","si551wg06ge","PilotTraining","si551wg06ge_PilotTraining_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-01",383,7,110,1,1,1,0.14285714285714285,1,7.11,0.487134,-6.622866
"Total","tj","si551wg06ge","PilotTraining","si551wg06ge_PilotTraining_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-02",1802,70,49,29,12,11,0.15714285714285714,1.075820895522388,36.04,18.441966797600003,-17.598033202399996
"Total","tj","si551wg06ge","PilotTraining","si551wg06ge_PilotTraining_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-03",2219,104,97,43,22,25,0.2403846153846154,1.1373654536135316,34.34,40.856109000000004,6.516109
"Total","tj","si551wg06ge","PilotTraining","si551wg06ge_PilotTraining_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-04",2879,110,99,27,10,11,0.1,1.2420189818809317,32.49,16.842207,-15.647793000000004
"Total","tj","si551wg06ge","PilotTraining","si551wg06ge_PilotTraining_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-05",3096,127,107,42,20,24,0.1889763779527559,1.1591164357918382,42.72,70.94353442270001,28.223534422700013
"Total","tj","si551wg06ge","PilotTraining","si551wg06ge_PilotTraining_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-06",2693,99,91,32,16,19,0.1919191919191919,1.1137303556658396,33.86,25.375698684999996,-8.484301315000003
"Total","tj","si551wg06ge","PilotTraining","si551wg06ge_PilotTraining_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-07",2374,102,101,44,19,24,0.23529411764705882,1.1706114398422092,33.03,33.116091000000004,0.08609100000000325
"Total","tj","si5b1c706s5","Internet","si5b1c706s5_Internet_0905_Facebook_KnowledgeWarehouse_TJ",,18957,1485,220,963,460,543,0.3656565656565657,1.1303440462703476,510.5,440.2235628753,-70.27643712470001
"Total","tj","si5b1c706s5","Internet","si5b1c706s5_Internet_0905_Facebook_KnowledgeWarehouse_TJ","2025-10-01",4642,394,70,267,118,134,0.3401015228426396,1.119903498190591,121.96,100.19381486720002,-21.766185132799976
"Total","tj","si5b1c706s5","Internet","si5b1c706s5_Internet_0905_Facebook_KnowledgeWarehouse_TJ","2025-10-02",5434,397,65,255,122,149,0.37531486146095716,1.1693565741338499,142.86,137.16058204759995,-5.6994179524000685
"Total","tj","si5b1c706s5","Internet","si5b1c706s5_Internet_0905_Facebook_KnowledgeWarehouse_TJ","2025-10-03",5322,382,43,228,115,132,0.34554973821989526,1.1301762582289234,144.76,105.60018684000003,-39.159813159999956
"Total","tj","si5b1c706s5","Internet","si5b1c706s5_Internet_0905_Facebook_KnowledgeWarehouse_TJ","2025-10-04",3559,312,41,213,104,128,0.41025641025641024,1.0883792048929664,100.92,97.26897912049998,-3.651020879500024
"Total","tj","si5b1c706s5","Internet","si5b1c706s5_Internet_0905_Facebook_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si5b1c706s5","Internet","si5b1c706s5_Internet_0905_Facebook_KnowledgeWarehouse_TJ","2025-10-06",0,0,1,0,1,0,0,0,0,0,0
"Total","tj","si5b1c706s5","Internet","si5b1c706s5_Internet_0905_Facebook_KnowledgeWarehouse_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si5b2ee06j2","SeniorLifeInsurance","si5b2ee06j2_SeniorLifeInsurance_0909_Facebook_KnowledgeWarehouse_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si5b2ee06j2","SeniorLifeInsurance","si5b2ee06j2_SeniorLifeInsurance_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si5b2ee06j2","SeniorLifeInsurance","si5b2ee06j2_SeniorLifeInsurance_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si5b2ee06j2","SeniorLifeInsurance","si5b2ee06j2_SeniorLifeInsurance_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si5b2ee06j2","SeniorLifeInsurance","si5b2ee06j2_SeniorLifeInsurance_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si5b2ee06j2","SeniorLifeInsurance","si5b2ee06j2_SeniorLifeInsurance_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si5b2ee06j2","SeniorLifeInsurance","si5b2ee06j2_SeniorLifeInsurance_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si5b2ee06j2","SeniorLifeInsurance","si5b2ee06j2_SeniorLifeInsurance_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si5n2nb06nw","PickupDriverJobs","si5n2nb06nw_PickupDriverJobs_0903_Facebook_KnowledgeWarehouse_TJ",,71486,5227,81,4061,1460,1905,0.36445379758943947,1.0688855993660191,1067.5,1234.08844930692,166.58844930691998
"Total","tj","si5n2nb06nw","PickupDriverJobs","si5n2nb06nw_PickupDriverJobs_0903_Facebook_KnowledgeWarehouse_TJ","2025-10-01",9135,688,31,605,212,284,0.4127906976744186,1.0835013640137587,154.79,183.20779854379995,28.41779854379996
"Total","tj","si5n2nb06nw","PickupDriverJobs","si5n2nb06nw_PickupDriverJobs_0903_Facebook_KnowledgeWarehouse_TJ","2025-10-02",8779,649,8,487,195,261,0.40215716486902925,1.0509996408475997,144.83,158.24727694080008,13.417276940800065
"Total","tj","si5n2nb06nw","PickupDriverJobs","si5n2nb06nw_PickupDriverJobs_0903_Facebook_KnowledgeWarehouse_TJ","2025-10-03",9180,630,12,483,177,222,0.3523809523809524,1.0565082287950283,144.75,145.24748183999998,0.49748183999997764
"Total","tj","si5n2nb06nw","PickupDriverJobs","si5n2nb06nw_PickupDriverJobs_0903_Facebook_KnowledgeWarehouse_TJ","2025-10-04",9924,663,0,483,177,214,0.32277526395173456,1.0521628498727735,146.38,159.1574680358,12.777468035800013
"Total","tj","si5n2nb06nw","PickupDriverJobs","si5n2nb06nw_PickupDriverJobs_0903_Facebook_KnowledgeWarehouse_TJ","2025-10-05",14212,1017,8,744,259,349,0.34316617502458213,1.0966895593795818,179.02,226.03767840912005,47.01767840912004
"Total","tj","si5n2nb06nw","PickupDriverJobs","si5n2nb06nw_PickupDriverJobs_0903_Facebook_KnowledgeWarehouse_TJ","2025-10-06",10888,884,10,699,245,314,0.3552036199095023,1.0578062761099776,157.69,198.46012842340005,40.77012842340005
"Total","tj","si5n2nb06nw","PickupDriverJobs","si5n2nb06nw_PickupDriverJobs_0903_Facebook_KnowledgeWarehouse_TJ","2025-10-07",9368,696,12,560,195,261,0.375,1.0740655812886952,140.04,163.730617114,23.69061711400002
"Total","tj","si6e22n0615","UltraLuxuryCruise","si6e22n0615_UltraLuxuryCruise_0919_Facebook_KnowledgeWarehouse_TJ",,4439,544,17,387,192,244,0.4485294117647059,1.050899621212121,136.3,146.86221541011,10.562215410109985
"Total","tj","si6e22n0615","UltraLuxuryCruise","si6e22n0615_UltraLuxuryCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-01",535,54,0,41,21,23,0.42592592592592593,1.024904214559387,14.55,13.477374000000001,-1.0726259999999996
"Total","tj","si6e22n0615","UltraLuxuryCruise","si6e22n0615_UltraLuxuryCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-02",492,54,3,26,14,20,0.37037037037037035,1.086092715231788,13.59,11.152998797599999,-2.437001202400001
"Total","tj","si6e22n0615","UltraLuxuryCruise","si6e22n0615_UltraLuxuryCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-03",481,61,9,44,22,28,0.45901639344262296,1.0571428571428572,13.88,15.59442228,1.714422279999999
"Total","tj","si6e22n0615","UltraLuxuryCruise","si6e22n0615_UltraLuxuryCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-04",477,59,1,37,18,23,0.3898305084745763,1.119718309859155,12.98,17.166963000000003,4.186963000000002
"Total","tj","si6e22n0615","UltraLuxuryCruise","si6e22n0615_UltraLuxuryCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-05",594,77,0,54,30,45,0.5844155844155844,1.0084889643463497,19.85,35.49845509091001,15.648455090910005
"Total","tj","si6e22n0615","UltraLuxuryCruise","si6e22n0615_UltraLuxuryCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-06",952,130,3,106,53,64,0.49230769230769234,1.037037037037037,30.37,34.10802668459999,3.7380266845999905
"Total","tj","si6e22n0615","UltraLuxuryCruise","si6e22n0615_UltraLuxuryCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-07",908,109,1,79,34,41,0.3761467889908257,1.0545876887340302,31.08,19.863975556999996,-11.216024443000002
"Total","tj","si6mkc06sk","BankAccountBonus","si6mkc06sk_BankAccountBonus_0922_Desktop_Founddelights_TJ",,756,44,1,20,10,9,0.20454545454545456,1.2684563758389262,33.81,17.7246940074,-16.085305992600002
"Total","tj","si6mkc06sk","BankAccountBonus","si6mkc06sk_BankAccountBonus_0922_Desktop_Founddelights_TJ","2025-10-01",506,27,0,10,5,4,0.14814814814814814,1.3142857142857143,23.27,9.934776522,-13.335223478
"Total","tj","si6mkc06sk","BankAccountBonus","si6mkc06sk_BankAccountBonus_0922_Desktop_Founddelights_TJ","2025-10-02",250,17,1,10,5,5,0.29411764705882354,1.1848341232227488,10.54,7.7899174854,-2.750082514599999
"Total","tj","si6mkc06sk","BankAccountBonus","si6mkc06sk_BankAccountBonus_0922_Desktop_Founddelights_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si6mkc06sk","BankAccountBonus","si6mkc06sk_BankAccountBonus_0922_Desktop_Founddelights_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si6mkc06sk","BankAccountBonus","si6mkc06sk_BankAccountBonus_0922_Desktop_Founddelights_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
