"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Date","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total","tj","sibz32j06tg","CreditCardCanada","sibz32j06tg_CreditCardCanada_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-05",3027,178,0,93,27,33,0.1853932584269663,1.2880851063829788,63.59,92.16292459460001,28.57292459460001
"Total","tj","sibz32j06tg","CreditCardCanada","sibz32j06tg_CreditCardCanada_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-06",3189,163,4,77,26,34,0.2085889570552147,1.1917040358744395,70.62,80.65804971428,10.038049714279992
"Total","tj","sibz32j06tg","CreditCardCanada","sibz32j06tg_CreditCardCanada_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-07",4270,205,2,98,40,46,0.22439024390243903,1.2004498172617375,98.46,121.90131425999996,23.44131425999997
"Total","tj","sic5q606v6","HepatitisC","sic5q606v6_1006_HepatitisC_KnowledgeWarehouse_TJ",,1312,83,102,56,36,55,0.6626506024096386,1.1281169389509889,22.63,23.481939823899992,0.8519398238999933
"Total","tj","sic5q606v6","HepatitisC","sic5q606v6_1006_HepatitisC_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sic5q606v6","HepatitisC","sic5q606v6_1006_HepatitisC_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sic5q606v6","HepatitisC","sic5q606v6_1006_HepatitisC_KnowledgeWarehouse_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sic5q606v6","HepatitisC","sic5q606v6_1006_HepatitisC_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sic5q606v6","HepatitisC","sic5q606v6_1006_HepatitisC_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sic5q606v6","HepatitisC","sic5q606v6_1006_HepatitisC_KnowledgeWarehouse_TJ","2025-10-06",146,7,28,2,1,1,0.14285714285714285,1.0138888888888888,2.9,0.297693,-2.6023069999999997
"Total","tj","sic5q606v6","HepatitisC","sic5q606v6_1006_HepatitisC_KnowledgeWarehouse_TJ","2025-10-07",1166,76,74,54,35,54,0.7105263157894737,1.1442590775269872,19.73,23.184246823899993,3.454246823899993
"Total","tj","sicx1em065n","DentalImplants","sicx1em065n_0916_DentalImplants_OGCreatives_KnowledgeWarehouse_TJ",,13109,1207,30,766,316,394,0.3264291632145816,1.1168001363094224,369.99,461.629487295,91.63948729499998
"Total","tj","sicx1em065n","DentalImplants","sicx1em065n_0916_DentalImplants_OGCreatives_KnowledgeWarehouse_TJ","2025-10-01",1899,165,3,110,39,42,0.2545454545454545,1.1276722090261282,54.99,51.762498,-3.227502000000001
"Total","tj","sicx1em065n","DentalImplants","sicx1em065n_0916_DentalImplants_OGCreatives_KnowledgeWarehouse_TJ","2025-10-02",1623,170,8,106,42,56,0.32941176470588235,1.1101231190150478,42.41,53.93362359520001,11.523623595200014
"Total","tj","sicx1em065n","DentalImplants","sicx1em065n_0916_DentalImplants_OGCreatives_KnowledgeWarehouse_TJ","2025-10-03",1615,141,3,84,37,45,0.3191489361702128,1.1153314917127073,43.1,56.73920328,13.639203279999997
"Total","tj","sicx1em065n","DentalImplants","sicx1em065n_0916_DentalImplants_OGCreatives_KnowledgeWarehouse_TJ","2025-10-04",1517,139,1,93,47,55,0.39568345323741005,1.1138032305433188,40.35,60.1739161628,19.823916162799996
"Total","tj","sicx1em065n","DentalImplants","sicx1em065n_0916_DentalImplants_OGCreatives_KnowledgeWarehouse_TJ","2025-10-05",1817,175,3,112,40,53,0.3028571428571429,1.1059038344491783,53.15,61.396925999999986,8.246925999999988
"Total","tj","sicx1em065n","DentalImplants","sicx1em065n_0916_DentalImplants_OGCreatives_KnowledgeWarehouse_TJ","2025-10-06",2067,187,10,122,54,69,0.3689839572192513,1.1203252032520326,60.3,90.27133707520002,29.971337075200026
"Total","tj","sicx1em065n","DentalImplants","sicx1em065n_0916_DentalImplants_OGCreatives_KnowledgeWarehouse_TJ","2025-10-07",2571,230,2,139,57,74,0.3217391304347826,1.1207497820401047,75.69,87.3519831818,11.661983181799997
"Total","tj","sid61qi06t2","SleepApneaTreatment","sid61qi06t2_SleepApneaTreatment_TriviaLibrary_0619_Facebook_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sid61qi06t2","SleepApneaTreatment","sid61qi06t2_SleepApneaTreatment_TriviaLibrary_0619_Facebook_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sid61qi06t2","SleepApneaTreatment","sid61qi06t2_SleepApneaTreatment_TriviaLibrary_0619_Facebook_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sid61qi06t2","SleepApneaTreatment","sid61qi06t2_SleepApneaTreatment_TriviaLibrary_0619_Facebook_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sid61qi06t2","SleepApneaTreatment","sid61qi06t2_SleepApneaTreatment_TriviaLibrary_0619_Facebook_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sid61qi06t2","SleepApneaTreatment","sid61qi06t2_SleepApneaTreatment_TriviaLibrary_0619_Facebook_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sid61qi06t2","SleepApneaTreatment","sid61qi06t2_SleepApneaTreatment_TriviaLibrary_0619_Facebook_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sid61qi06t2","SleepApneaTreatment","sid61qi06t2_SleepApneaTreatment_TriviaLibrary_0619_Facebook_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sifb1dk06os","DiabetesStudy","sifb1dk06os_0902_DiabetesStudy_KnowledgeWarehouse_TJ",,13767,915,52,520,246,285,0.3114754098360656,1.1282576626782495,415.83000000000004,428.3313102282999,12.501310228299872
"Total","tj","sifb1dk06os","DiabetesStudy","sifb1dk06os_0902_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-01",3337,237,23,129,66,80,0.33755274261603374,1.180820948336872,119.21,81.9779395146,-37.2320604854
"Total","tj","sifb1dk06os","DiabetesStudy","sifb1dk06os_0902_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-02",2292,150,4,79,33,37,0.24666666666666667,1.1693877551020408,61.97,58.925171999999996,-3.0448280000000025
"Total","tj","sifb1dk06os","DiabetesStudy","sifb1dk06os_0902_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-03",1625,108,9,77,29,35,0.32407407407407407,1.1206896551724137,45.55,62.45238299999998,16.902382999999986
"Total","tj","sifb1dk06os","DiabetesStudy","sifb1dk06os_0902_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-04",1599,101,3,51,27,30,0.297029702970297,1.073875083948959,42.64,44.400068291,1.760068290999996
"Total","tj","sifb1dk06os","DiabetesStudy","sifb1dk06os_0902_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-05",1772,138,10,84,43,49,0.35507246376811596,1.063625450180072,54.74,91.59260342270002,36.85260342270002
"Total","tj","sifb1dk06os","DiabetesStudy","sifb1dk06os_0902_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-06",1471,75,0,44,22,22,0.29333333333333333,1.0969425801640567,42.5,43.03919099999999,0.5391909999999882
"Total","tj","sifb1dk06os","DiabetesStudy","sifb1dk06os_0902_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-07",1671,106,3,56,26,32,0.3018867924528302,1.136734693877551,49.22,45.94395299999999,-3.2760470000000055
"Total","tj","sifsl206dx","DentalImplantClinicalTrials","sifsl206dx_0925_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ",,15441,1686,55,1125,477,607,0.3600237247924081,1.0469184351481455,632.0699999999999,831.847009817,199.77700981700002
"Total","tj","sifsl206dx","DentalImplantClinicalTrials","sifsl206dx_0925_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-01",2900,334,21,259,111,140,0.41916167664670656,1.0146955913226032,116.27,172.9345599264,56.6645599264
"Total","tj","sifsl206dx","DentalImplantClinicalTrials","sifsl206dx_0925_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-02",1983,213,15,174,61,79,0.37089201877934275,1.036050156739812,76.98,93.28626839319999,16.306268393199986
"Total","tj","sifsl206dx","DentalImplantClinicalTrials","sifsl206dx_0925_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-03",2088,213,8,129,58,74,0.3474178403755869,1.0492462311557789,77.4,98.20143857599999,20.80143857599998
"Total","tj","sifsl206dx","DentalImplantClinicalTrials","sifsl206dx_0925_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-04",1888,166,3,105,39,52,0.3132530120481928,1.0300054555373703,70.01,90.2525175814,20.242517581399994
"Total","tj","sifsl206dx","DentalImplantClinicalTrials","sifsl206dx_0925_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-05",2537,306,3,189,88,109,0.3562091503267974,1.0883740883740884,107.51,157.2455916911,49.7355916911
"Total","tj","sifsl206dx","DentalImplantClinicalTrials","sifsl206dx_0925_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-06",2236,236,2,140,60,81,0.3432203389830508,1.033271719038817,101.54,115.54817907509998,14.008179075099974
"Total","tj","sifsl206dx","DentalImplantClinicalTrials","sifsl206dx_0925_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-07",1809,218,3,129,60,72,0.3302752293577982,1.0904159132007234,82.36,104.37845457380003,22.018454573800028
"Total","tj","sig41qa06pf","HomeValue","sig41qa06pf_HomeValue_0925_Facebook_KnowledgeWarehouse_TJ",,100194,7421,6690,5478,2432,2846,0.38350626600188653,1.0792231712965457,1784.4599999999998,2292.6652567185397,508.2052567185399
"Total","tj","sig41qa06pf","HomeValue","sig41qa06pf_HomeValue_0925_Facebook_KnowledgeWarehouse_TJ","2025-10-01",7802,590,556,475,197,235,0.3983050847457627,1.0326935804103243,135.44,209.7631461909999,74.32314619099989
"Total","tj","sig41qa06pf","HomeValue","sig41qa06pf_HomeValue_0925_Facebook_KnowledgeWarehouse_TJ","2025-10-02",10422,789,716,605,259,295,0.37389100126742714,1.206110403888439,183.86,249.79990569460008,65.93990569460007
"Total","tj","sig41qa06pf","HomeValue","sig41qa06pf_HomeValue_0925_Facebook_KnowledgeWarehouse_TJ","2025-10-03",12172,903,834,663,282,325,0.3599114064230343,1.0956881807543433,220.21,304.0542483600001,83.84424836000008
"Total","tj","sig41qa06pf","HomeValue","sig41qa06pf_HomeValue_0925_Facebook_KnowledgeWarehouse_TJ","2025-10-04",12740,971,873,695,330,380,0.3913491246138002,1.1058067876052426,249.03,335.25548828680013,86.22548828680013
"Total","tj","sig41qa06pf","HomeValue","sig41qa06pf_HomeValue_0925_Facebook_KnowledgeWarehouse_TJ","2025-10-05",17591,1354,1203,967,448,546,0.4032496307237814,1.0528489346420877,343.68,425.10025228173987,81.42025228173986
"Total","tj","sig41qa06pf","HomeValue","sig41qa06pf_HomeValue_0925_Facebook_KnowledgeWarehouse_TJ","2025-10-06",28487,1981,1762,1429,637,738,0.37253912165572944,1.0572669239904988,447.65,534.2421353978995,86.59213539789948
"Total","tj","sig41qa06pf","HomeValue","sig41qa06pf_HomeValue_0925_Facebook_KnowledgeWarehouse_TJ","2025-10-07",10980,833,746,644,279,327,0.39255702280912363,1.059743268024322,204.59,234.4500805065,29.860080506499997
"Total","tj","sigt3q06r6","MississippiRiverCruise","sigt3q06r6_MississippiRiverCruise_0916_Facebook_KnowledgeWarehouse_TJ",,40635,4093,2493,2310,1290,1581,0.3862692401661373,1.0914291853562892,854.78,1161.2303324845097,306.4503324845098
"Total","tj","sigt3q06r6","MississippiRiverCruise","sigt3q06r6_MississippiRiverCruise_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-01",4074,428,248,218,133,158,0.3691588785046729,1.0766384778012685,80.78,128.7494366028,47.96943660279999
"Total","tj","sigt3q06r6","MississippiRiverCruise","sigt3q06r6_MississippiRiverCruise_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-02",4199,412,279,266,147,187,0.4538834951456311,1.0943445400052123,81.61,151.7152853927999,70.1052853927999
"Total","tj","sigt3q06r6","MississippiRiverCruise","sigt3q06r6_MississippiRiverCruise_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-03",4078,435,246,232,134,161,0.3701149425287356,1.0985991379310345,77.39,150.47601098799996,73.08601098799996
"Total","tj","sigt3q06r6","MississippiRiverCruise","sigt3q06r6_MississippiRiverCruise_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-04",5824,590,305,305,181,224,0.37966101694915255,1.0959729017689124,123.43,160.68882357749996,37.25882357749995
"Total","tj","sigt3q06r6","MississippiRiverCruise","sigt3q06r6_MississippiRiverCruise_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-05",8770,880,522,486,277,331,0.37613636363636366,1.10900354071826,184.6,197.58647404980996,12.98647404980997
"Total","tj","sigt3q06r6","MississippiRiverCruise","sigt3q06r6_MississippiRiverCruise_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-06",7042,674,426,404,210,253,0.37537091988130566,1.071841704718417,148.33,149.97194076009993,1.6419407600999136
"Total","tj","sigt3q06r6","MississippiRiverCruise","sigt3q06r6_MississippiRiverCruise_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-07",6648,674,467,399,208,267,0.3961424332344214,1.0887651490337373,158.64,222.0423611134999,63.40236111349992
"Total","tj","sigz6w06g4","GraphicDesignTraining","sigz6w06g4_GraphicDesignTraining_0916_Facebook_KnowledgeWarehouse_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sigz6w06g4","GraphicDesignTraining","sigz6w06g4_GraphicDesignTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sigz6w06g4","GraphicDesignTraining","sigz6w06g4_GraphicDesignTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sigz6w06g4","GraphicDesignTraining","sigz6w06g4_GraphicDesignTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sigz6w06g4","GraphicDesignTraining","sigz6w06g4_GraphicDesignTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sigz6w06g4","GraphicDesignTraining","sigz6w06g4_GraphicDesignTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sigz6w06g4","GraphicDesignTraining","sigz6w06g4_GraphicDesignTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sigz6w06g4","GraphicDesignTraining","sigz6w06g4_GraphicDesignTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sih79o60609","OnlineHighSchool","sih79o60609_0908_OnlineHighSchool_FB_TJ",,9848,497,38,240,117,141,0.2837022132796781,1.0559725498606047,170.53,285.8403515768,115.3103515768
"Total","tj","sih79o60609","OnlineHighSchool","sih79o60609_0908_OnlineHighSchool_FB_TJ","2025-10-01",1413,67,31,38,16,18,0.26865671641791045,1.062406015037594,27.37,29.318250000000003,1.9482500000000016
"Total","tj","sih79o60609","OnlineHighSchool","sih79o60609_0908_OnlineHighSchool_FB_TJ","2025-10-02",1308,78,1,39,18,24,0.3076923076923077,1.0818858560794045,26.07,41.6831055956,15.613105595599997
"Total","tj","sih79o60609","OnlineHighSchool","sih79o60609_0908_OnlineHighSchool_FB_TJ","2025-10-03",851,43,2,19,12,13,0.3023255813953488,1.0664160401002507,16.6,21.16037928,4.560379279999999
"Total","tj","sih79o60609","OnlineHighSchool","sih79o60609_0908_OnlineHighSchool_FB_TJ","2025-10-04",869,59,2,25,13,19,0.3220338983050847,1.0715166461159062,16.67,44.762202,28.092202
"Total","tj","sih79o60609","OnlineHighSchool","sih79o60609_0908_OnlineHighSchool_FB_TJ","2025-10-05",1551,81,0,34,16,18,0.2222222222222222,1.0346897931954637,25.76,45.720818422700006,19.960818422700005
"Total","tj","sih79o60609","OnlineHighSchool","sih79o60609_0908_OnlineHighSchool_FB_TJ","2025-10-06",2381,106,0,64,33,36,0.33962264150943394,1.0484368119771026,36,75.95682,39.95681999999999
"Total","tj","sih79o60609","OnlineHighSchool","sih79o60609_0908_OnlineHighSchool_FB_TJ","2025-10-07",1475,63,2,21,9,13,0.20634920634920634,1.0475852272727273,22.06,27.238776278499998,5.178776278499999
"Total","tj","sih839c068y","DiabetesStudy","sih839c068y_0923_DiabetesStudy_KnowledgeWarehouse_TJ",,8915,683,8,354,185,221,0.3235724743777452,1.0719009258145966,307.21,379.03799665950004,71.82799665950006
"Total","tj","sih839c068y","DiabetesStudy","sih839c068y_0923_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-01",530,34,1,17,8,9,0.2647058823529412,1.03515625,18.67,12.71961,-5.950390000000002
"Total","tj","sih839c068y","DiabetesStudy","sih839c068y_0923_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-02",488,36,2,18,13,15,0.4166666666666667,1.0608695652173914,19.8,25.601598,5.8015979999999985
"Total","tj","sih839c068y","DiabetesStudy","sih839c068y_0923_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-03",895,72,1,41,20,27,0.375,1.1104218362282878,34.68,39.29258928,4.612589280000002
"Total","tj","sih839c068y","DiabetesStudy","sih839c068y_0923_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-04",940,73,0,41,26,29,0.3972602739726027,1.0526315789473684,34.12,45.1836015814,11.0636015814
"Total","tj","sih839c068y","DiabetesStudy","sih839c068y_0923_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-05",1228,101,1,49,23,27,0.26732673267326734,1.0809859154929577,42.36,48.145077,5.785077000000001
"Total","tj","sih839c068y","DiabetesStudy","sih839c068y_0923_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-06",1807,136,2,59,33,42,0.3088235294117647,1.0629411764705883,56.35,94.41341168459998,38.06341168459998
"Total","tj","sih839c068y","DiabetesStudy","sih839c068y_0923_DiabetesStudy_KnowledgeWarehouse_TJ","2025-10-07",3027,231,1,129,62,72,0.3116883116883117,1.0772241992882563,101.23,113.68210911350003,12.452109113500029
"Total","tj","sihw228065b","JeepGrandCherokeeSUVs","sihw228065b_0908_JeepGrandCherokeeSUVs_TJ",,1362,141,9,102,35,50,0.3546099290780142,1.062402496099844,38.440000000000005,52.321799999999996,13.881799999999991
"Total","tj","sihw228065b","JeepGrandCherokeeSUVs","sihw228065b_0908_JeepGrandCherokeeSUVs_TJ","2025-10-01",55,5,1,2,0,0,0,1.0377358490566038,1.6800000000000002,0,-1.6800000000000002
"Total","tj","sihw228065b","JeepGrandCherokeeSUVs","sihw228065b_0908_JeepGrandCherokeeSUVs_TJ","2025-10-02",46,5,0,3,1,1,0.2,1.0222222222222221,1.56,0.54126,-1.0187400000000002
"Total","tj","sihw228065b","JeepGrandCherokeeSUVs","sihw228065b_0908_JeepGrandCherokeeSUVs_TJ","2025-10-03",145,9,1,2,1,1,0.1111111111111111,1.1068702290076335,4.2,0.234546,-3.9654540000000003
"Total","tj","sihw228065b","JeepGrandCherokeeSUVs","sihw228065b_0908_JeepGrandCherokeeSUVs_TJ","2025-10-04",358,37,2,38,8,16,0.43243243243243246,1.081570996978852,9.82,15.507099,5.687099
"Total","tj","sihw228065b","JeepGrandCherokeeSUVs","sihw228065b_0908_JeepGrandCherokeeSUVs_TJ","2025-10-05",392,47,4,29,16,20,0.425531914893617,1.0481283422459893,11.84,24.293553,12.453553
"Total","tj","sihw228065b","JeepGrandCherokeeSUVs","sihw228065b_0908_JeepGrandCherokeeSUVs_TJ","2025-10-06",268,29,1,21,7,10,0.3448275862068966,1.0592885375494072,6.91,10.536527999999999,3.6265279999999986
"Total","tj","sihw228065b","JeepGrandCherokeeSUVs","sihw228065b_0908_JeepGrandCherokeeSUVs_TJ","2025-10-07",98,9,0,7,2,2,0.2222222222222222,1.0315789473684212,2.43,1.208814,-1.221186
"Total","tj","sii8148062o","Parkinsons","sii8148062o_Parkinsons_WH_Facebook_TriviaLibrary_RSOC_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sii8148062o","Parkinsons","sii8148062o_Parkinsons_WH_Facebook_TriviaLibrary_RSOC_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sii8148062o","Parkinsons","sii8148062o_Parkinsons_WH_Facebook_TriviaLibrary_RSOC_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sii8148062o","Parkinsons","sii8148062o_Parkinsons_WH_Facebook_TriviaLibrary_RSOC_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sii8148062o","Parkinsons","sii8148062o_Parkinsons_WH_Facebook_TriviaLibrary_RSOC_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sii8148062o","Parkinsons","sii8148062o_Parkinsons_WH_Facebook_TriviaLibrary_RSOC_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sii8148062o","Parkinsons","sii8148062o_Parkinsons_WH_Facebook_TriviaLibrary_RSOC_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sii8148062o","Parkinsons","sii8148062o_Parkinsons_WH_Facebook_TriviaLibrary_RSOC_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siim2yn06hi","MemoryLossTrials","siim2yn06hi_1001_MemoryLossTrials_Canada_KnowledgeWarehouse_TJ",,5615,446,404,288,99,114,0.2556053811659193,1.2093474046952402,99.11,46.795087833,-52.314912167
"Total","tj","siim2yn06hi","MemoryLossTrials","siim2yn06hi_1001_MemoryLossTrials_Canada_KnowledgeWarehouse_TJ","2025-10-01",0,0,29,0,0,0,0,0,0,0,0
"Total","tj","siim2yn06hi","MemoryLossTrials","siim2yn06hi_1001_MemoryLossTrials_Canada_KnowledgeWarehouse_TJ","2025-10-02",1924,156,127,89,38,44,0.28205128205128205,1.2657894736842106,32.86,16.409198999999997,-16.450801000000002
"Total","tj","siim2yn06hi","MemoryLossTrials","siim2yn06hi_1001_MemoryLossTrials_Canada_KnowledgeWarehouse_TJ","2025-10-03",1324,106,85,73,23,29,0.27358490566037735,1.2135655362053162,23.2,12.3574812857,-10.842518714299999
"Total","tj","siim2yn06hi","MemoryLossTrials","siim2yn06hi_1001_MemoryLossTrials_Canada_KnowledgeWarehouse_TJ","2025-10-04",842,58,45,30,9,11,0.1896551724137931,1.1875881523272214,14.2,4.4202900000000005,-9.779709999999998
"Total","tj","siim2yn06hi","MemoryLossTrials","siim2yn06hi_1001_MemoryLossTrials_Canada_KnowledgeWarehouse_TJ","2025-10-05",964,76,74,48,18,19,0.25,1.1628468033775634,18.94,8.048926297299998,-10.891073702700004
"Total","tj","siim2yn06hi","MemoryLossTrials","siim2yn06hi_1001_MemoryLossTrials_Canada_KnowledgeWarehouse_TJ","2025-10-06",561,50,44,48,11,11,0.22,1.1356275303643724,9.91,5.559191249999999,-4.3508087500000014
"Total","tj","siim2yn06hi","MemoryLossTrials","siim2yn06hi_1001_MemoryLossTrials_Canada_KnowledgeWarehouse_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siiu7c506ok","SeniorApartments","siiu7c506ok_0807_SeniorApartments_FB_TL_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siiu7c506ok","SeniorApartments","siiu7c506ok_0807_SeniorApartments_FB_TL_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siiu7c506ok","SeniorApartments","siiu7c506ok_0807_SeniorApartments_FB_TL_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siiu7c506ok","SeniorApartments","siiu7c506ok_0807_SeniorApartments_FB_TL_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siiu7c506ok","SeniorApartments","siiu7c506ok_0807_SeniorApartments_FB_TL_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siiu7c506ok","SeniorApartments","siiu7c506ok_0807_SeniorApartments_FB_TL_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siiu7c506ok","SeniorApartments","siiu7c506ok_0807_SeniorApartments_FB_TL_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siiu7c506ok","SeniorApartments","siiu7c506ok_0807_SeniorApartments_FB_TL_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sijb1sp06ai","PlumbingTraining","sijb1sp06ai_PlumbingTraining_0915_Facebook_KnowledgeWarehouse_TJ",,1370,49,1,31,13,17,0.3469387755102041,1.1303630363036303,32.09,21.055014,-11.034986000000004
"Total","tj","sijb1sp06ai","PlumbingTraining","sijb1sp06ai_PlumbingTraining_0915_Facebook_KnowledgeWarehouse_TJ","2025-10-01",815,22,0,11,5,6,0.2727272727272727,1.1256906077348066,17.85,11.628069,-6.221931000000001
"Total","tj","sijb1sp06ai","PlumbingTraining","sijb1sp06ai_PlumbingTraining_0915_Facebook_KnowledgeWarehouse_TJ","2025-10-02",555,27,0,20,8,11,0.4074074074074074,1.1372950819672132,14.24,9.426945,-4.813055
"Total","tj","sijb1sp06ai","PlumbingTraining","sijb1sp06ai_PlumbingTraining_0915_Facebook_KnowledgeWarehouse_TJ","2025-10-03",0,0,1,0,0,0,0,0,0,0,0
"Total","tj","sijb1sp06ai","PlumbingTraining","sijb1sp06ai_PlumbingTraining_0915_Facebook_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sijb1sp06ai","PlumbingTraining","sijb1sp06ai_PlumbingTraining_0915_Facebook_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sijb1sp06ai","PlumbingTraining","sijb1sp06ai_PlumbingTraining_0915_Facebook_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sijb1sp06ai","PlumbingTraining","sijb1sp06ai_PlumbingTraining_0915_Facebook_KnowledgeWarehouse_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sijeaf06nf","CDL","sijeaf06nf_CDL_0909_Facebook_KnowledgeWarehouse_TJ",,6380,441,4,359,118,150,0.3401360544217687,1.156006522920819,207.74,164.1045165239,-43.635483476100006
"Total","tj","sijeaf06nf","CDL","sijeaf06nf_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-01",904,61,0,53,15,19,0.3114754098360656,1.1501272264631044,27.82,19.4295978382,-8.3904021618
"Total","tj","sijeaf06nf","CDL","sijeaf06nf_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-02",926,59,1,44,11,12,0.2033898305084746,1.1618569636135507,27.84,13.044366,-14.795634
"Total","tj","sijeaf06nf","CDL","sijeaf06nf_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-03",877,63,0,56,22,32,0.5079365079365079,1.155467720685112,27.48,33.43218684000001,5.952186840000007
